state,STATE,OCC_TITLE,A_MEAN
IN,Indiana,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",106440
IA,Iowa,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",103140
KS,Kansas,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",111610
KY,Kentucky,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",52650
LA,Louisiana,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",67770
ME,Maine,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",62600
MD,Maryland,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",93250
MA,Massachusetts,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",131190
MI,Michigan,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",105400
MN,Minnesota,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",104780
MS,Mississippi,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",88670
MO,Missouri,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",107100
MT,Montana,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",64360
NV,Nevada,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",67710
NH,New Hampshire,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",66360
NJ,New Jersey,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",108140
NM,New Mexico,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",62750
NY,New York,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",91820
NC,North Carolina,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",88710
OH,Ohio,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",93070
OK,Oklahoma,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",91030
OR,Oregon,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",69060
PA,Pennsylvania,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",90140
RI,Rhode Island,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",103020
SC,South Carolina,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",85460
TN,Tennessee,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",90040
TX,Texas,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",92790
UT,Utah,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",71680
VT,Vermont,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",69200
VA,Virginia,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",91230
WA,Washington,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",91530
WV,West Virginia,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",98180
WI,Wisconsin,Legal / Paralegal,"Administrative Law Judges, Adjudicators, and Hearing Officers",114180
