state,STATE,OCC_TITLE,A_MEAN
RI,Rhode Island,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,61770
SC,South Carolina,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,60800
SD,South Dakota,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,55050
TN,Tennessee,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,53430
TX,Texas,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,65510
UT,Utah,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,56780
VT,Vermont,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,58070
VA,Virginia,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,61120
WA,Washington,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,66530
WV,West Virginia,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,54160
WI,Wisconsin,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,56350
WY,Wyoming,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,75690
GU,Guam,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,49580
PR,Puerto Rico,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,40020
VI,Virgin Islands,Upper Management / Consulting,First-Line Supervisors of Production and Operating Workers,40290
AL,Alabama,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",45610
AK,Alaska,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",62400
AZ,Arizona,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",45190
AR,Arkansas,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",42480
CA,California,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",49190
CO,Colorado,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",52240
CT,Connecticut,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",49190
DE,Delaware,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",43790
DC,District of Columbia,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",51470
FL,Florida,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",42700
GA,Georgia,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",47400
HI,Hawaii,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",43500
ID,Idaho,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",40480
IL,Illinois,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",48850
IN,Indiana,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",42470
IA,Iowa,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",38590
KS,Kansas,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",44940
KY,Kentucky,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",39170
LA,Louisiana,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",44520
ME,Maine,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",46930
MD,Maryland,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",48320
MA,Massachusetts,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",50250
MI,Michigan,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",43390
MN,Minnesota,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",49490
MS,Mississippi,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",42750
MO,Missouri,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",42700
MT,Montana,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",48180
NE,Nebraska,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",48410
NV,Nevada,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",48040
NH,New Hampshire,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",58360
NJ,New Jersey,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",53920
NM,New Mexico,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",53440
NY,New York,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",58420
NC,North Carolina,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",48210
ND,North Dakota,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",50300
OH,Ohio,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",43890
OK,Oklahoma,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",44830
OR,Oregon,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",49010
PA,Pennsylvania,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",46390
RI,Rhode Island,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",56720
SC,South Carolina,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",48140
SD,South Dakota,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",48940
TN,Tennessee,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",46950
TX,Texas,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",49360
UT,Utah,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",47550
VT,Vermont,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",53060
VA,Virginia,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",50690
WA,Washington,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",52170
WV,West Virginia,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",41740
WI,Wisconsin,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",41700
WY,Wyoming,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",46830
PR,Puerto Rico,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",28260
VI,Virgin Islands,Legal / Paralegal,"First-Line Supervisors of Protective Service Workers, All Other",46970
AL,Alabama,Retail,First-Line Supervisors of Retail Sales Workers,40280
AK,Alaska,Retail,First-Line Supervisors of Retail Sales Workers,42360
AZ,Arizona,Retail,First-Line Supervisors of Retail Sales Workers,39670
AR,Arkansas,Retail,First-Line Supervisors of Retail Sales Workers,33270
CA,California,Retail,First-Line Supervisors of Retail Sales Workers,44000
CO,Colorado,Retail,First-Line Supervisors of Retail Sales Workers,44030
CT,Connecticut,Retail,First-Line Supervisors of Retail Sales Workers,46270
DE,Delaware,Retail,First-Line Supervisors of Retail Sales Workers,47960
DC,District of Columbia,Retail,First-Line Supervisors of Retail Sales Workers,45090
FL,Florida,Retail,First-Line Supervisors of Retail Sales Workers,43000
GA,Georgia,Retail,First-Line Supervisors of Retail Sales Workers,39270
HI,Hawaii,Retail,First-Line Supervisors of Retail Sales Workers,45930
ID,Idaho,Retail,First-Line Supervisors of Retail Sales Workers,36990
IL,Illinois,Retail,First-Line Supervisors of Retail Sales Workers,40440
IN,Indiana,Retail,First-Line Supervisors of Retail Sales Workers,39220
IA,Iowa,Retail,First-Line Supervisors of Retail Sales Workers,36090
KS,Kansas,Retail,First-Line Supervisors of Retail Sales Workers,39670
KY,Kentucky,Retail,First-Line Supervisors of Retail Sales Workers,35930
LA,Louisiana,Retail,First-Line Supervisors of Retail Sales Workers,37330
ME,Maine,Retail,First-Line Supervisors of Retail Sales Workers,38970
MD,Maryland,Retail,First-Line Supervisors of Retail Sales Workers,44350
MA,Massachusetts,Retail,First-Line Supervisors of Retail Sales Workers,46070
MI,Michigan,Retail,First-Line Supervisors of Retail Sales Workers,40100
MN,Minnesota,Retail,First-Line Supervisors of Retail Sales Workers,38860
MS,Mississippi,Retail,First-Line Supervisors of Retail Sales Workers,37590
MO,Missouri,Retail,First-Line Supervisors of Retail Sales Workers,39020
MT,Montana,Retail,First-Line Supervisors of Retail Sales Workers,39760
NE,Nebraska,Retail,First-Line Supervisors of Retail Sales Workers,40070
NV,Nevada,Retail,First-Line Supervisors of Retail Sales Workers,42300
NH,New Hampshire,Retail,First-Line Supervisors of Retail Sales Workers,44310
NJ,New Jersey,Retail,First-Line Supervisors of Retail Sales Workers,48100
NM,New Mexico,Retail,First-Line Supervisors of Retail Sales Workers,36000
NY,New York,Retail,First-Line Supervisors of Retail Sales Workers,48900
NC,North Carolina,Retail,First-Line Supervisors of Retail Sales Workers,42020
ND,North Dakota,Retail,First-Line Supervisors of Retail Sales Workers,42350
OH,Ohio,Retail,First-Line Supervisors of Retail Sales Workers,38300
OK,Oklahoma,Retail,First-Line Supervisors of Retail Sales Workers,38040
OR,Oregon,Retail,First-Line Supervisors of Retail Sales Workers,38620
PA,Pennsylvania,Retail,First-Line Supervisors of Retail Sales Workers,45970
RI,Rhode Island,Retail,First-Line Supervisors of Retail Sales Workers,47760
SC,South Carolina,Retail,First-Line Supervisors of Retail Sales Workers,39260
SD,South Dakota,Retail,First-Line Supervisors of Retail Sales Workers,43490
TN,Tennessee,Retail,First-Line Supervisors of Retail Sales Workers,40350
TX,Texas,Retail,First-Line Supervisors of Retail Sales Workers,44750
UT,Utah,Retail,First-Line Supervisors of Retail Sales Workers,38590
VT,Vermont,Retail,First-Line Supervisors of Retail Sales Workers,45820
VA,Virginia,Retail,First-Line Supervisors of Retail Sales Workers,43710
WA,Washington,Retail,First-Line Supervisors of Retail Sales Workers,44890
WV,West Virginia,Retail,First-Line Supervisors of Retail Sales Workers,35800
WI,Wisconsin,Retail,First-Line Supervisors of Retail Sales Workers,38950
WY,Wyoming,Retail,First-Line Supervisors of Retail Sales Workers,39950
GU,Guam,Retail,First-Line Supervisors of Retail Sales Workers,27900
PR,Puerto Rico,Retail,First-Line Supervisors of Retail Sales Workers,28290
VI,Virgin Islands,Retail,First-Line Supervisors of Retail Sales Workers,44240
AL,Alabama,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,54030
AK,Alaska,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,69130
AZ,Arizona,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53000
AR,Arkansas,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,48930
CA,California,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,59870
CO,Colorado,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,60990
CT,Connecticut,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,63420
DE,Delaware,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,58710
DC,District of Columbia,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,71990
FL,Florida,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,55900
GA,Georgia,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,55640
HI,Hawaii,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53140
ID,Idaho,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,49510
IL,Illinois,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,58700
IN,Indiana,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,56990
IA,Iowa,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53980
KS,Kansas,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,54250
KY,Kentucky,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,52690
LA,Louisiana,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,58590
ME,Maine,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,49320
MD,Maryland,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,59170
MA,Massachusetts,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,59010
MI,Michigan,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,54500
MN,Minnesota,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,55930
MS,Mississippi,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,49410
MO,Missouri,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,52090
MT,Montana,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,59080
NE,Nebraska,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,54570
NV,Nevada,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53390
NH,New Hampshire,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,57450
NJ,New Jersey,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,57920
NM,New Mexico,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,56970
NY,New York,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,64700
NC,North Carolina,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53350
ND,North Dakota,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,65520
OH,Ohio,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,54230
OK,Oklahoma,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,55230
OR,Oregon,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,54890
PA,Pennsylvania,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,60040
RI,Rhode Island,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,57870
SC,South Carolina,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,56790
SD,South Dakota,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,56940
TN,Tennessee,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,55310
TX,Texas,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,58770
UT,Utah,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,59100
VT,Vermont,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,59360
VA,Virginia,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,58310
WA,Washington,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,65370
WV,West Virginia,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,50620
WI,Wisconsin,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,53620
WY,Wyoming,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,64960
GU,Guam,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,37280
PR,Puerto Rico,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,29870
VI,Virgin Islands,Transportation / Logistics,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,46270
AL,Alabama,General,Fish and Game Wardens,46840
AZ,Arizona,General,Fish and Game Wardens,47190
AR,Arkansas,General,Fish and Game Wardens,48970
CA,California,General,Fish and Game Wardens,71190
CT,Connecticut,General,Fish and Game Wardens,47760
GA,Georgia,General,Fish and Game Wardens,35390
HI,Hawaii,General,Fish and Game Wardens,54840
ID,Idaho,General,Fish and Game Wardens,45460
IL,Illinois,General,Fish and Game Wardens,96880
IN,Indiana,General,Fish and Game Wardens,49900
IA,Iowa,General,Fish and Game Wardens,58670
KS,Kansas,General,Fish and Game Wardens,45450
LA,Louisiana,General,Fish and Game Wardens,48700
ME,Maine,General,Fish and Game Wardens,44460
MD,Maryland,General,Fish and Game Wardens,70230
MA,Massachusetts,General,Fish and Game Wardens,49730
MI,Michigan,General,Fish and Game Wardens,61440
MT,Montana,General,Fish and Game Wardens,40950
NV,Nevada,General,Fish and Game Wardens,59030
NM,New Mexico,General,Fish and Game Wardens,40900
NY,New York,General,Fish and Game Wardens,66250
NC,North Carolina,General,Fish and Game Wardens,38110
ND,North Dakota,General,Fish and Game Wardens,53420
OH,Ohio,General,Fish and Game Wardens,54210
OK,Oklahoma,General,Fish and Game Wardens,43200
SD,South Dakota,General,Fish and Game Wardens,38810
TN,Tennessee,General,Fish and Game Wardens,68490
TX,Texas,General,Fish and Game Wardens,58590
VT,Vermont,General,Fish and Game Wardens,52210
VA,Virginia,General,Fish and Game Wardens,47310
WA,Washington,General,Fish and Game Wardens,60960
WI,Wisconsin,General,Fish and Game Wardens,47560
WY,Wyoming,General,Fish and Game Wardens,56250
AK,Alaska,General,Fishers and Related Fishing Workers,33980
CA,California,General,Fishers and Related Fishing Workers,36380
WA,Washington,General,Fishers and Related Fishing Workers,45680
AL,Alabama,Healthcare,Fitness Trainers and Aerobics Instructors,34630
AK,Alaska,Healthcare,Fitness Trainers and Aerobics Instructors,34890
AZ,Arizona,Healthcare,Fitness Trainers and Aerobics Instructors,38730
AR,Arkansas,Healthcare,Fitness Trainers and Aerobics Instructors,23830
CA,California,Healthcare,Fitness Trainers and Aerobics Instructors,49280
CO,Colorado,Healthcare,Fitness Trainers and Aerobics Instructors,42180
CT,Connecticut,Healthcare,Fitness Trainers and Aerobics Instructors,48200
DE,Delaware,Healthcare,Fitness Trainers and Aerobics Instructors,32890
DC,District of Columbia,Healthcare,Fitness Trainers and Aerobics Instructors,42800
FL,Florida,Healthcare,Fitness Trainers and Aerobics Instructors,34580
GA,Georgia,Healthcare,Fitness Trainers and Aerobics Instructors,39450
HI,Hawaii,Healthcare,Fitness Trainers and Aerobics Instructors,43060
ID,Idaho,Healthcare,Fitness Trainers and Aerobics Instructors,32330
IL,Illinois,Healthcare,Fitness Trainers and Aerobics Instructors,35380
IN,Indiana,Healthcare,Fitness Trainers and Aerobics Instructors,30500
IA,Iowa,Healthcare,Fitness Trainers and Aerobics Instructors,24970
KS,Kansas,Healthcare,Fitness Trainers and Aerobics Instructors,33720
KY,Kentucky,Healthcare,Fitness Trainers and Aerobics Instructors,34980
LA,Louisiana,Healthcare,Fitness Trainers and Aerobics Instructors,30960
ME,Maine,Healthcare,Fitness Trainers and Aerobics Instructors,36950
MD,Maryland,Healthcare,Fitness Trainers and Aerobics Instructors,39220
MA,Massachusetts,Healthcare,Fitness Trainers and Aerobics Instructors,47260
MI,Michigan,Healthcare,Fitness Trainers and Aerobics Instructors,33040
MN,Minnesota,Healthcare,Fitness Trainers and Aerobics Instructors,36380
MS,Mississippi,Healthcare,Fitness Trainers and Aerobics Instructors,30190
MO,Missouri,Healthcare,Fitness Trainers and Aerobics Instructors,29240
MT,Montana,Healthcare,Fitness Trainers and Aerobics Instructors,34540
NE,Nebraska,Healthcare,Fitness Trainers and Aerobics Instructors,33290
NV,Nevada,Healthcare,Fitness Trainers and Aerobics Instructors,33420
NH,New Hampshire,Healthcare,Fitness Trainers and Aerobics Instructors,36530
NJ,New Jersey,Healthcare,Fitness Trainers and Aerobics Instructors,49030
NM,New Mexico,Healthcare,Fitness Trainers and Aerobics Instructors,32410
NY,New York,Healthcare,Fitness Trainers and Aerobics Instructors,54050
NC,North Carolina,Healthcare,Fitness Trainers and Aerobics Instructors,33230
ND,North Dakota,Healthcare,Fitness Trainers and Aerobics Instructors,27780
OH,Ohio,Healthcare,Fitness Trainers and Aerobics Instructors,26770
OK,Oklahoma,Healthcare,Fitness Trainers and Aerobics Instructors,34560
OR,Oregon,Healthcare,Fitness Trainers and Aerobics Instructors,40740
PA,Pennsylvania,Healthcare,Fitness Trainers and Aerobics Instructors,31490
RI,Rhode Island,Healthcare,Fitness Trainers and Aerobics Instructors,35000
SC,South Carolina,Healthcare,Fitness Trainers and Aerobics Instructors,32620
SD,South Dakota,Healthcare,Fitness Trainers and Aerobics Instructors,28080
TN,Tennessee,Healthcare,Fitness Trainers and Aerobics Instructors,33210
TX,Texas,Healthcare,Fitness Trainers and Aerobics Instructors,42170
UT,Utah,Healthcare,Fitness Trainers and Aerobics Instructors,39140
VT,Vermont,Healthcare,Fitness Trainers and Aerobics Instructors,38970
VA,Virginia,Healthcare,Fitness Trainers and Aerobics Instructors,42490
WA,Washington,Healthcare,Fitness Trainers and Aerobics Instructors,40790
WV,West Virginia,Healthcare,Fitness Trainers and Aerobics Instructors,25380
WI,Wisconsin,Healthcare,Fitness Trainers and Aerobics Instructors,31250
WY,Wyoming,Healthcare,Fitness Trainers and Aerobics Instructors,27040
PR,Puerto Rico,Healthcare,Fitness Trainers and Aerobics Instructors,30880
CA,California,Hospitality / Entertainment,Flight Attendants,45530
CO,Colorado,Hospitality / Entertainment,Flight Attendants,43490
CT,Connecticut,Hospitality / Entertainment,Flight Attendants,0
FL,Florida,Hospitality / Entertainment,Flight Attendants,55870
GA,Georgia,Hospitality / Entertainment,Flight Attendants,52200
IL,Illinois,Hospitality / Entertainment,Flight Attendants,41590
IN,Indiana,Hospitality / Entertainment,Flight Attendants,46730
KY,Kentucky,Hospitality / Entertainment,Flight Attendants,37830
MA,Massachusetts,Hospitality / Entertainment,Flight Attendants,43240
MI,Michigan,Hospitality / Entertainment,Flight Attendants,41110
MN,Minnesota,Hospitality / Entertainment,Flight Attendants,45820
NY,New York,Hospitality / Entertainment,Flight Attendants,43690
NC,North Carolina,Hospitality / Entertainment,Flight Attendants,39750
OH,Ohio,Hospitality / Entertainment,Flight Attendants,40080
SC,South Carolina,Hospitality / Entertainment,Flight Attendants,47010
TX,Texas,Hospitality / Entertainment,Flight Attendants,50260
UT,Utah,Hospitality / Entertainment,Flight Attendants,34880
VA,Virginia,Hospitality / Entertainment,Flight Attendants,37980
WI,Wisconsin,Hospitality / Entertainment,Flight Attendants,47190
AL,Alabama,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",29110
AK,Alaska,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",60960
AZ,Arizona,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",33120
CA,California,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47930
CO,Colorado,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",37610
CT,Connecticut,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",53680
FL,Florida,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",27470
GA,Georgia,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",28900
HI,Hawaii,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",46340
ID,Idaho,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",37350
IL,Illinois,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",57070
IN,Indiana,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",34180
IA,Iowa,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",41430
KS,Kansas,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",30740
KY,Kentucky,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",26650
LA,Louisiana,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",31120
MD,Maryland,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",40450
MA,Massachusetts,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",42800
MI,Michigan,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",41540
MN,Minnesota,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",44670
MS,Mississippi,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",28370
MO,Missouri,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",49430
MT,Montana,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",28010
NE,Nebraska,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",21920
NV,Nevada,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",43650
NY,New York,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",37820
NC,North Carolina,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",35080
ND,North Dakota,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",35950
OH,Ohio,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",49560
OK,Oklahoma,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",41040
OR,Oregon,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",41000
PA,Pennsylvania,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",38450
SC,South Carolina,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",28570
SD,South Dakota,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",32100
TN,Tennessee,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",34590
TX,Texas,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",35320
UT,Utah,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",32910
VA,Virginia,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",35050
WA,Washington,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",45630
WI,Wisconsin,Construction / Facilities,"Floor Layers, Except Carpet, Wood, and Hard Tiles",37560
AL,Alabama,Construction / Facilities,Floor Sanders and Finishers,28640
AR,Arkansas,Construction / Facilities,Floor Sanders and Finishers,25880
CA,California,Construction / Facilities,Floor Sanders and Finishers,39250
CO,Colorado,Construction / Facilities,Floor Sanders and Finishers,39100
FL,Florida,Construction / Facilities,Floor Sanders and Finishers,34240
IL,Illinois,Construction / Facilities,Floor Sanders and Finishers,38740
IA,Iowa,Construction / Facilities,Floor Sanders and Finishers,43230
KY,Kentucky,Construction / Facilities,Floor Sanders and Finishers,37910
MD,Maryland,Construction / Facilities,Floor Sanders and Finishers,38180
MA,Massachusetts,Construction / Facilities,Floor Sanders and Finishers,43150
MN,Minnesota,Construction / Facilities,Floor Sanders and Finishers,34110
MO,Missouri,Construction / Facilities,Floor Sanders and Finishers,49680
NH,New Hampshire,Construction / Facilities,Floor Sanders and Finishers,35220
NJ,New Jersey,Construction / Facilities,Floor Sanders and Finishers,41390
NY,New York,Construction / Facilities,Floor Sanders and Finishers,51360
NC,North Carolina,Construction / Facilities,Floor Sanders and Finishers,35480
OH,Ohio,Construction / Facilities,Floor Sanders and Finishers,32140
PA,Pennsylvania,Construction / Facilities,Floor Sanders and Finishers,34050
SC,South Carolina,Construction / Facilities,Floor Sanders and Finishers,34050
TN,Tennessee,Construction / Facilities,Floor Sanders and Finishers,24160
TX,Texas,Construction / Facilities,Floor Sanders and Finishers,30710
